SYNTHETIC BANK ACCOUNT STATEMENT
Period: 2026-01-01 — 2026-03-31
Every data row below is one posted bank transaction; no archive or instructions are included.
transaction_id,occurred_at,posted_at,merchant,description,amount_minor,currency,card_last4,channel,status,category_id,merchant_country,mcc,authorization_code,terminal_id,counterparty,balance_after_minor,payment_purpose,provider_reference,fee_minor
TX-000001,2026-01-01 09:07:00,2026-01-02,NOVA MARKET,groceries,-727,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000001,TERM-1001,counterparty-01,7499273,household account; groceries; statement export,PROVIDER-2026-00000001,1
TX-000624,2026-03-25 08:48:00,2026-03-26,BOOK HOUSE,books and stationery,-20078,RUB,4404,qr,posted,unknown,RU,5942,AUTH-0000000624,TERM-1084,counterparty-16,1820791,household account; books and stationery; statement export,PROVIDER-2026-00000624,0
TX-000625,2026-03-26 09:55:00,2026-03-27,NOVA MARKET,groceries,-20215,RUB,4405,card,posted,food.groceries,RU,5311,AUTH-0000000625,TERM-1085,counterparty-17,1800576,household account; groceries; statement export,PROVIDER-2026-00000625,1
TX-000626,2026-03-27 10:02:00,2026-03-28,CITY RIDE,completed ride,-20352,RUB,4406,card,posted,transport,RU,4121,AUTH-0000000626,TERM-1086,counterparty-18,1780224,household account; completed ride; statement export,PROVIDER-2026-00000626,2
TX-000627,2026-03-28 11:09:00,2026-03-29,RIVER PAY,online order,-20489,RUB,4407,qr,posted,services.digital,RU,5812,AUTH-0000000627,TERM-1087,counterparty-19,1759735,household account; online order; statement export,PROVIDER-2026-00000627,3
TX-000628,2026-03-29 12:16:00,2026-03-30,NORTH CAFE,coffee and lunch,-20626,RUB,4408,card,posted,food.cafe,RU,5814,AUTH-0000000628,TERM-1088,counterparty-20,1739109,household account; coffee and lunch; statement export,PROVIDER-2026-00000628,0
TX-000629,2026-03-30 13:23:00,2026-03-31,MEDI-CORNER,pharmacy goods,-20763,RUB,4409,card,posted,health.pharmacy,RU,5912,AUTH-0000000629,TERM-1089,counterparty-21,1718346,household account; pharmacy goods; statement export,PROVIDER-2026-00000629,1
TX-000630,2026-03-31 14:30:00,2026-04-01,STREAM BOX,monthly subscription,-20900,RUB,4400,qr,posted,services.digital,RU,4899,AUTH-0000000630,TERM-1000,counterparty-22,1697446,household account; monthly subscription; statement export,PROVIDER-2026-00000630,2
TX-000631,2026-01-01 15:37:00,2026-01-02,GREEN MARKET,fresh food,-21037,RUB,4401,card,posted,food.groceries,RU,5411,AUTH-0000000631,TERM-1001,counterparty-23,1676409,household account; fresh food; statement export,PROVIDER-2026-00000631,3
TX-000632,2026-01-02 16:44:00,2026-01-03,BOOK HOUSE,books and stationery,-21174,RUB,4402,card,posted,unknown,RU,5942,AUTH-0000000632,TERM-1002,counterparty-24,1655235,household account; books and stationery; statement export,PROVIDER-2026-00000632,0
TX-000633,2026-01-03 17:51:00,2026-01-04,RIVER PAY,partial refund,42000,RUB,4403,qr,posted,unknown,RU,возврат,AUTH-0000000633,TERM-1003,counterparty-25,1697235,household account; partial refund; statement export,PROVIDER-2026-00000633,1
TX-000634,2026-01-04 18:58:00,2026-01-05,CITY RIDE,completed ride,-21448,RUB,4404,card,posted,transport,RU,4121,AUTH-0000000634,TERM-1004,counterparty-26,1675787,household account; completed ride; statement export,PROVIDER-2026-00000634,2
TX-000635,2026-01-05 19:05:00,2026-01-06,RIVER PAY,online order,-21585,RUB,4405,card,posted,services.digital,RU,5812,AUTH-0000000635,TERM-1005,counterparty-27,1654202,household account; online order; statement export,PROVIDER-2026-00000635,3
TX-000636,2026-01-06 08:12:00,2026-01-07,NORTH CAFE,coffee and lunch,-21722,RUB,4406,qr,posted,food.cafe,RU,5814,AUTH-0000000636,TERM-1006,counterparty-28,1632480,household account; coffee and lunch; statement export,PROVIDER-2026-00000636,0
TX-000637,2026-01-07 09:19:00,2026-01-08,MEDI-CORNER,pharmacy goods,-21859,RUB,4407,card,posted,health.pharmacy,RU,5912,AUTH-0000000637,TERM-1007,counterparty-29,1610621,household account; pharmacy goods; statement export,PROVIDER-2026-00000637,1
TX-000638,2026-01-08 10:26:00,2026-01-09,STREAM BOX,monthly subscription,-21996,RUB,4408,card,posted,services.digital,RU,4899,AUTH-0000000638,TERM-1008,counterparty-30,1588625,household account; monthly subscription; statement export,PROVIDER-2026-00000638,2
TX-000639,2026-01-09 11:33:00,2026-01-10,GREEN MARKET,fresh food,-133,RUB,4409,qr,posted,food.groceries,RU,5411,AUTH-0000000639,TERM-1009,counterparty-31,1588492,household account; fresh food; statement export,PROVIDER-2026-00000639,3
TX-000640,2026-01-10 12:40:00,2026-01-11,BOOK HOUSE,books and stationery,-270,RUB,4400,card,posted,unknown,RU,5942,AUTH-0000000640,TERM-1010,counterparty-00,1588222,household account; books and stationery; statement export,PROVIDER-2026-00000640,0
TX-000641,2026-01-11 13:47:00,2026-01-12,NOVA MARKET,groceries,-407,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000641,TERM-1011,counterparty-01,1587815,household account; groceries; statement export,PROVIDER-2026-00000641,1
TX-000642,2026-01-12 14:54:00,2026-01-13,CITY RIDE,completed ride,-544,RUB,4402,qr,posted,transport,RU,4121,AUTH-0000000642,TERM-1012,counterparty-02,1587271,household account; completed ride; statement export,PROVIDER-2026-00000642,2
TX-000643,2026-01-13 15:01:00,2026-01-14,RIVER PAY,online order,-681,RUB,4403,card,posted,services.digital,RU,5812,AUTH-0000000643,TERM-1013,counterparty-03,1586590,household account; online order; statement export,PROVIDER-2026-00000643,3
TX-000644,2026-01-14 16:08:00,2026-01-15,NORTH CAFE,coffee and lunch,-818,RUB,4404,card,posted,food.cafe,RU,5814,AUTH-0000000644,TERM-1014,counterparty-04,1585772,household account; coffee and lunch; statement export,PROVIDER-2026-00000644,0
TX-000645,2026-01-15 17:15:00,2026-01-16,MEDI-CORNER,pharmacy goods,-955,RUB,4405,qr,posted,health.pharmacy,RU,5912,AUTH-0000000645,TERM-1015,counterparty-05,1584817,household account; pharmacy goods; statement export,PROVIDER-2026-00000645,1
TX-000646,2026-01-16 18:22:00,2026-01-17,STREAM BOX,monthly subscription,-1092,RUB,4406,card,posted,services.digital,RU,4899,AUTH-0000000646,TERM-1016,counterparty-06,1583725,household account; monthly subscription; statement export,PROVIDER-2026-00000646,2
TX-000647,2026-01-17 19:29:00,2026-01-18,GREEN MARKET,fresh food,-1229,RUB,4407,card,posted,food.groceries,RU,5411,AUTH-0000000647,TERM-1017,counterparty-07,1582496,household account; fresh food; statement export,PROVIDER-2026-00000647,3
TX-000648,2026-01-18 08:36:00,2026-01-19,BOOK HOUSE,books and stationery,-1366,RUB,4408,qr,posted,unknown,RU,5942,AUTH-0000000648,TERM-1018,counterparty-08,1581130,household account; books and stationery; statement export,PROVIDER-2026-00000648,0
TX-000649,2026-01-19 09:43:00,2026-01-20,NOVA MARKET,groceries,-1503,RUB,4409,card,posted,food.groceries,RU,5311,AUTH-0000000649,TERM-1019,counterparty-09,1579627,household account; groceries; statement export,PROVIDER-2026-00000649,1
TX-000650,2026-01-20 10:50:00,2026-01-21,CITY RIDE,completed ride,-1640,RUB,4400,card,posted,transport,RU,4121,AUTH-0000000650,TERM-1020,counterparty-10,1577987,household account; completed ride; statement export,PROVIDER-2026-00000650,2
TX-000651,2026-01-21 11:57:00,2026-01-22,RIVER PAY,online order,-1777,RUB,4401,qr,posted,services.digital,RU,5812,AUTH-0000000651,TERM-1021,counterparty-11,1576210,household account; online order; statement export,PROVIDER-2026-00000651,3
TX-000652,2026-01-22 12:04:00,2026-01-23,NORTH CAFE,coffee and lunch,-1914,RUB,4402,card,posted,food.cafe,RU,5814,AUTH-0000000652,TERM-1022,counterparty-12,1574296,household account; coffee and lunch; statement export,PROVIDER-2026-00000652,0
TX-000653,2026-01-23 13:11:00,2026-01-24,MEDI-CORNER,pharmacy goods,-2051,RUB,4403,card,posted,health.pharmacy,RU,5912,AUTH-0000000653,TERM-1023,counterparty-13,1572245,household account; pharmacy goods; statement export,PROVIDER-2026-00000653,1
TX-000654,2026-01-24 14:18:00,2026-01-25,STREAM BOX,monthly subscription,-2188,RUB,4404,qr,posted,services.digital,RU,4899,AUTH-0000000654,TERM-1024,counterparty-14,1570057,household account; monthly subscription; statement export,PROVIDER-2026-00000654,2
TX-000655,2026-01-25 15:25:00,2026-01-26,GREEN MARKET,fresh food,-2325,RUB,4405,card,posted,food.groceries,RU,5411,AUTH-0000000655,TERM-1025,counterparty-15,1567732,household account; fresh food; statement export,PROVIDER-2026-00000655,3
TX-000656,2026-01-26 16:32:00,2026-01-27,BOOK HOUSE,books and stationery,-2462,RUB,4406,card,posted,unknown,RU,5942,AUTH-0000000656,TERM-1026,counterparty-16,1565270,household account; books and stationery; statement export,PROVIDER-2026-00000656,0
TX-000657,2026-01-27 17:39:00,2026-01-28,NOVA MARKET,groceries,-2599,RUB,4407,qr,posted,food.groceries,RU,5311,AUTH-0000000657,TERM-1027,counterparty-17,1562671,household account; groceries; statement export,PROVIDER-2026-00000657,1
TX-000658,2026-01-28 18:46:00,2026-01-29,CITY RIDE,completed ride,-2736,RUB,4408,card,posted,transport,RU,4121,AUTH-0000000658,TERM-1028,counterparty-18,1559935,household account; completed ride; statement export,PROVIDER-2026-00000658,2
TX-000659,2026-01-29 19:53:00,2026-01-30,RIVER PAY,online order,-2873,RUB,4409,card,posted,services.digital,RU,5812,AUTH-0000000659,TERM-1029,counterparty-19,1557062,household account; online order; statement export,PROVIDER-2026-00000659,3
TX-000660,2026-01-30 08:00:00,2026-01-31,NORTH CAFE,coffee and lunch,-3010,RUB,4400,qr,posted,food.cafe,RU,5814,AUTH-0000000660,TERM-1030,counterparty-20,1554052,household account; coffee and lunch; statement export,PROVIDER-2026-00000660,0
TX-000661,2026-01-31 09:07:00,2026-02-01,MEDI-CORNER,pharmacy goods,-3147,RUB,4401,card,posted,health.pharmacy,RU,5912,AUTH-0000000661,TERM-1031,counterparty-21,1550905,household account; pharmacy goods; statement export,PROVIDER-2026-00000661,1
TX-000662,2026-02-01 10:14:00,2026-02-02,STREAM BOX,monthly subscription,-3284,RUB,4402,card,posted,services.digital,RU,4899,AUTH-0000000662,TERM-1032,counterparty-22,1547621,household account; monthly subscription; statement export,PROVIDER-2026-00000662,2
TX-000663,2026-02-02 11:21:00,2026-02-03,GREEN MARKET,fresh food,-3421,RUB,4403,qr,posted,food.groceries,RU,5411,AUTH-0000000663,TERM-1033,counterparty-23,1544200,household account; fresh food; statement export,PROVIDER-2026-00000663,3
TX-000664,2026-02-03 12:28:00,2026-02-04,BOOK HOUSE,books and stationery,-3558,RUB,4404,card,posted,unknown,RU,5942,AUTH-0000000664,TERM-1034,counterparty-24,1540642,household account; books and stationery; statement export,PROVIDER-2026-00000664,0
TX-000665,2026-02-04 13:35:00,2026-02-05,NOVA MARKET,groceries,-3695,RUB,4405,card,posted,food.groceries,RU,5311,AUTH-0000000665,TERM-1035,counterparty-25,1536947,household account; groceries; statement export,PROVIDER-2026-00000665,1
TX-000666,2026-02-05 14:42:00,2026-02-06,CITY RIDE,completed ride,-3832,RUB,4406,qr,posted,transport,RU,4121,AUTH-0000000666,TERM-1036,counterparty-26,1533115,household account; completed ride; statement export,PROVIDER-2026-00000666,2
TX-000667,2026-02-06 15:49:00,2026-02-07,RIVER PAY,online order,-3969,RUB,4407,card,posted,services.digital,RU,5812,AUTH-0000000667,TERM-1037,counterparty-27,1529146,household account; online order; statement export,PROVIDER-2026-00000667,3
TX-000668,2026-02-07 16:56:00,2026-02-08,NORTH CAFE,coffee and lunch,-4106,RUB,4408,card,posted,food.cafe,RU,5814,AUTH-0000000668,TERM-1038,counterparty-28,1525040,household account; coffee and lunch; statement export,PROVIDER-2026-00000668,0
TX-000669,2026-02-08 17:03:00,2026-02-09,MEDI-CORNER,pharmacy goods,-4243,RUB,4409,qr,posted,health.pharmacy,RU,5912,AUTH-0000000669,TERM-1039,counterparty-29,1520797,household account; pharmacy goods; statement export,PROVIDER-2026-00000669,1
TX-000670,2026-02-09 18:10:00,2026-02-10,STREAM BOX,monthly subscription,-4380,RUB,4400,card,posted,services.digital,RU,4899,AUTH-0000000670,TERM-1040,counterparty-30,1516417,household account; monthly subscription; statement export,PROVIDER-2026-00000670,2
TX-000671,2026-02-10 19:17:00,2026-02-11,GREEN MARKET,fresh food,-4517,RUB,4401,card,posted,food.groceries,RU,5411,AUTH-0000000671,TERM-1041,counterparty-31,1511900,household account; fresh food; statement export,PROVIDER-2026-00000671,3
TX-000672,2026-02-11 08:24:00,2026-02-12,BOOK HOUSE,books and stationery,-4654,RUB,4402,qr,posted,unknown,RU,5942,AUTH-0000000672,TERM-1042,counterparty-00,1507246,household account; books and stationery; statement export,PROVIDER-2026-00000672,0
TX-000673,2026-02-12 09:31:00,2026-02-13,NOVA MARKET,groceries,-4791,RUB,4403,card,posted,food.groceries,RU,5311,AUTH-0000000673,TERM-1043,counterparty-01,1502455,household account; groceries; statement export,PROVIDER-2026-00000673,1
TX-000674,2026-02-13 10:38:00,2026-02-14,CITY RIDE,completed ride,-4928,RUB,4404,card,posted,transport,RU,4121,AUTH-0000000674,TERM-1044,counterparty-02,1497527,household account; completed ride; statement export,PROVIDER-2026-00000674,2
TX-000675,2026-02-14 11:45:00,2026-02-15,RIVER PAY,online order,-5065,RUB,4405,qr,posted,services.digital,RU,5812,AUTH-0000000675,TERM-1045,counterparty-03,1492462,household account; online order; statement export,PROVIDER-2026-00000675,3
TX-000676,2026-02-15 12:52:00,2026-02-16,NORTH CAFE,coffee and lunch,-5202,RUB,4406,card,posted,food.cafe,RU,5814,AUTH-0000000676,TERM-1046,counterparty-04,1487260,household account; coffee and lunch; statement export,PROVIDER-2026-00000676,0
TX-000677,2026-02-16 13:59:00,2026-02-17,MEDI-CORNER,pharmacy goods,-5339,RUB,4407,card,posted,health.pharmacy,RU,5912,AUTH-0000000677,TERM-1047,counterparty-05,1481921,household account; pharmacy goods; statement export,PROVIDER-2026-00000677,1
TX-000678,2026-02-17 14:06:00,2026-02-18,STREAM BOX,monthly subscription,-5476,RUB,4408,qr,posted,services.digital,RU,4899,AUTH-0000000678,TERM-1048,counterparty-06,1476445,household account; monthly subscription; statement export,PROVIDER-2026-00000678,2
TX-000679,2026-02-18 15:13:00,2026-02-19,GREEN MARKET,fresh food,-5613,RUB,4409,card,posted,food.groceries,RU,5411,AUTH-0000000679,TERM-1049,counterparty-07,1470832,household account; fresh food; statement export,PROVIDER-2026-00000679,3
TX-000680,2026-02-19 16:20:00,2026-02-20,BOOK HOUSE,books and stationery,-5750,RUB,4400,card,posted,unknown,RU,5942,AUTH-0000000680,TERM-1050,counterparty-08,1465082,household account; books and stationery; statement export,PROVIDER-2026-00000680,0
TX-000681,2026-02-20 17:27:00,2026-02-21,NOVA MARKET,groceries,-5887,RUB,4401,qr,posted,food.groceries,RU,5311,AUTH-0000000681,TERM-1051,counterparty-09,1459195,household account; groceries; statement export,PROVIDER-2026-00000681,1
TX-000682,2026-02-21 18:34:00,2026-02-22,CITY RIDE,completed ride,-6024,RUB,4402,card,posted,transport,RU,4121,AUTH-0000000682,TERM-1052,counterparty-10,1453171,household account; completed ride; statement export,PROVIDER-2026-00000682,2
TX-000683,2026-02-22 19:41:00,2026-02-23,RIVER PAY,online order,-6161,RUB,4403,card,posted,services.digital,RU,5812,AUTH-0000000683,TERM-1053,counterparty-11,1447010,household account; online order; statement export,PROVIDER-2026-00000683,3
TX-000684,2026-02-23 08:48:00,2026-02-24,NORTH CAFE,coffee and lunch,-6298,RUB,4404,qr,posted,food.cafe,RU,5814,AUTH-0000000684,TERM-1054,counterparty-12,1440712,household account; coffee and lunch; statement export,PROVIDER-2026-00000684,0
TX-000685,2026-02-24 09:55:00,2026-02-25,SALARY TEST,monthly income,250000,RUB,4405,card,posted,income.salary,RU,6011,AUTH-0000000685,TERM-1055,counterparty-13,1690712,household account; monthly income; statement export,PROVIDER-2026-00000685,1
TX-000686,2026-02-25 10:02:00,2026-02-26,STREAM BOX,monthly subscription,-6572,RUB,4406,card,posted,services.digital,RU,4899,AUTH-0000000686,TERM-1056,counterparty-14,1684140,household account; monthly subscription; statement export,PROVIDER-2026-00000686,2
TX-000687,2026-02-26 11:09:00,2026-02-27,GREEN MARKET,fresh food,-6709,RUB,4407,qr,posted,food.groceries,RU,5411,AUTH-0000000687,TERM-1057,counterparty-15,1677431,household account; fresh food; statement export,PROVIDER-2026-00000687,3
TX-000688,2026-02-27 12:16:00,2026-02-28,BOOK HOUSE,books and stationery,-6846,RUB,4408,card,posted,unknown,RU,5942,AUTH-0000000688,TERM-1058,counterparty-16,1670585,household account; books and stationery; statement export,PROVIDER-2026-00000688,0
TX-000689,2026-02-28 13:23:00,2026-03-01,NOVA MARKET,groceries,-6983,RUB,4409,card,posted,food.groceries,RU,5311,AUTH-0000000689,TERM-1059,counterparty-17,1663602,household account; groceries; statement export,PROVIDER-2026-00000689,1
TX-000690,2026-03-01 14:30:00,2026-03-02,CITY RIDE,completed ride,-7120,RUB,4400,qr,posted,transport,RU,4121,AUTH-0000000690,TERM-1060,counterparty-18,1656482,household account; completed ride; statement export,PROVIDER-2026-00000690,2
TX-000691,2026-03-02 15:37:00,2026-03-03,RIVER PAY,online order,-7257,RUB,4401,card,posted,services.digital,RU,5812,AUTH-0000000691,TERM-1061,counterparty-19,1649225,household account; online order; statement export,PROVIDER-2026-00000691,3
TX-000692,2026-03-03 16:44:00,2026-03-04,NORTH CAFE,coffee and lunch,-7394,RUB,4402,card,posted,food.cafe,RU,5814,AUTH-0000000692,TERM-1062,counterparty-20,1641831,household account; coffee and lunch; statement export,PROVIDER-2026-00000692,0
TX-000693,2026-03-04 17:51:00,2026-03-05,MEDI-CORNER,pharmacy goods,-7531,RUB,4403,qr,posted,health.pharmacy,RU,5912,AUTH-0000000693,TERM-1063,counterparty-21,1634300,household account; pharmacy goods; statement export,PROVIDER-2026-00000693,1
TX-000694,2026-03-05 18:58:00,2026-03-06,STREAM BOX,monthly subscription,-7668,RUB,4404,card,posted,services.digital,RU,4899,AUTH-0000000694,TERM-1064,counterparty-22,1626632,household account; monthly subscription; statement export,PROVIDER-2026-00000694,2
TX-000695,2026-03-06 19:05:00,2026-03-07,GREEN MARKET,fresh food,-7805,RUB,4405,card,posted,food.groceries,RU,5411,AUTH-0000000695,TERM-1065,counterparty-23,1618827,household account; fresh food; statement export,PROVIDER-2026-00000695,3
TX-000696,2026-03-07 08:12:00,2026-03-08,BOOK HOUSE,books and stationery,-7942,RUB,4406,qr,posted,unknown,RU,5942,AUTH-0000000696,TERM-1066,counterparty-24,1610885,household account; books and stationery; statement export,PROVIDER-2026-00000696,0
TX-000697,2026-03-08 09:19:00,2026-03-09,NOVA MARKET,groceries,-8079,RUB,4407,card,posted,food.groceries,RU,5311,AUTH-0000000697,TERM-1067,counterparty-25,1602806,household account; groceries; statement export,PROVIDER-2026-00000697,1
TX-000698,2026-03-09 10:26:00,2026-03-10,CITY RIDE,completed ride,-8216,RUB,4408,card,posted,transport,RU,4121,AUTH-0000000698,TERM-1068,counterparty-26,1594590,household account; completed ride; statement export,PROVIDER-2026-00000698,2
TX-000699,2026-03-10 11:33:00,2026-03-11,RIVER PAY,online order,-8353,RUB,4409,qr,posted,services.digital,RU,5812,AUTH-0000000699,TERM-1069,counterparty-27,1586237,household account; online order; statement export,PROVIDER-2026-00000699,3
TX-000700,2026-03-11 12:40:00,2026-03-12,NORTH CAFE,coffee and lunch,-8490,RUB,4400,card,posted,food.cafe,RU,5814,AUTH-0000000700,TERM-1070,counterparty-28,1577747,household account; coffee and lunch; statement export,PROVIDER-2026-00000700,0
TX-000701,2026-03-12 13:47:00,2026-03-13,MEDI-CORNER,pharmacy goods,-8627,RUB,4401,card,posted,health.pharmacy,RU,5912,AUTH-0000000701,TERM-1071,counterparty-29,1569120,household account; pharmacy goods; statement export,PROVIDER-2026-00000701,1
TX-000702,2026-03-13 14:54:00,2026-03-14,STREAM BOX,monthly subscription,-8764,RUB,4402,qr,posted,services.digital,RU,4899,AUTH-0000000702,TERM-1072,counterparty-30,1560356,household account; monthly subscription; statement export,PROVIDER-2026-00000702,2
TX-000703,2026-03-14 15:01:00,2026-03-15,GREEN MARKET,fresh food,-8901,RUB,4403,card,posted,food.groceries,RU,5411,AUTH-0000000703,TERM-1073,counterparty-31,1551455,household account; fresh food; statement export,PROVIDER-2026-00000703,3
TX-000704,2026-03-15 16:08:00,2026-03-16,BOOK HOUSE,books and stationery,-9038,RUB,4404,card,posted,unknown,RU,5942,AUTH-0000000704,TERM-1074,counterparty-00,1542417,household account; books and stationery; statement export,PROVIDER-2026-00000704,0
TX-000705,2026-03-16 17:15:00,2026-03-17,NOVA MARKET,groceries,-9175,RUB,4405,qr,posted,food.groceries,RU,5311,AUTH-0000000705,TERM-1075,counterparty-01,1533242,household account; groceries; statement export,PROVIDER-2026-00000705,1
TX-000706,2026-03-17 18:22:00,2026-03-18,CITY RIDE,completed ride,-9312,RUB,4406,card,posted,transport,RU,4121,AUTH-0000000706,TERM-1076,counterparty-02,1523930,household account; completed ride; statement export,PROVIDER-2026-00000706,2
TX-000707,2026-03-18 19:29:00,2026-03-19,RIVER PAY,online order,-9449,RUB,4407,card,posted,services.digital,RU,5812,AUTH-0000000707,TERM-1077,counterparty-03,1514481,household account; online order; statement export,PROVIDER-2026-00000707,3
TX-000708,2026-03-19 08:36:00,2026-03-20,NORTH CAFE,coffee and lunch,-9586,RUB,4408,qr,posted,food.cafe,RU,5814,AUTH-0000000708,TERM-1078,counterparty-04,1504895,household account; coffee and lunch; statement export,PROVIDER-2026-00000708,0
TX-000709,2026-03-20 09:43:00,2026-03-21,MEDI-CORNER,pharmacy goods,-9723,RUB,4409,card,posted,health.pharmacy,RU,5912,AUTH-0000000709,TERM-1079,counterparty-05,1495172,household account; pharmacy goods; statement export,PROVIDER-2026-00000709,1
TX-000710,2026-03-21 10:50:00,2026-03-22,STREAM BOX,monthly subscription,-9860,RUB,4400,card,posted,services.digital,RU,4899,AUTH-0000000710,TERM-1080,counterparty-06,1485312,household account; monthly subscription; statement export,PROVIDER-2026-00000710,2
TX-000711,2026-03-22 11:57:00,2026-03-23,GREEN MARKET,fresh food,-9997,RUB,4401,qr,posted,food.groceries,RU,5411,AUTH-0000000711,TERM-1081,counterparty-07,1475315,household account; fresh food; statement export,PROVIDER-2026-00000711,3
TX-000712,2026-03-23 12:04:00,2026-03-24,BOOK HOUSE,books and stationery,-10134,RUB,4402,card,posted,unknown,RU,5942,AUTH-0000000712,TERM-1082,counterparty-08,1465181,household account; books and stationery; statement export,PROVIDER-2026-00000712,0
TX-000713,2026-03-24 13:11:00,2026-03-25,NOVA MARKET,groceries,-10271,RUB,4403,card,posted,food.groceries,RU,5311,AUTH-0000000713,TERM-1083,counterparty-09,1454910,household account; groceries; statement export,PROVIDER-2026-00000713,1
TX-000714,2026-03-25 14:18:00,2026-03-26,CITY RIDE,completed ride,-10408,RUB,4404,qr,posted,transport,RU,4121,AUTH-0000000714,TERM-1084,counterparty-10,1444502,household account; completed ride; statement export,PROVIDER-2026-00000714,2
TX-000715,2026-03-26 15:25:00,2026-03-27,RIVER PAY,online order,-10545,RUB,4405,card,posted,services.digital,RU,5812,AUTH-0000000715,TERM-1085,counterparty-11,1433957,household account; online order; statement export,PROVIDER-2026-00000715,3
TX-000716,2026-03-27 16:32:00,2026-03-28,NORTH CAFE,coffee and lunch,-10682,RUB,4406,card,posted,food.cafe,RU,5814,AUTH-0000000716,TERM-1086,counterparty-12,1423275,household account; coffee and lunch; statement export,PROVIDER-2026-00000716,0
TX-000717,2026-03-28 17:39:00,2026-03-29,MEDI-CORNER,pharmacy goods,-10819,RUB,4407,qr,posted,health.pharmacy,RU,5912,AUTH-0000000717,TERM-1087,counterparty-13,1412456,household account; pharmacy goods; statement export,PROVIDER-2026-00000717,1
TX-000718,2026-03-29 18:46:00,2026-03-30,STREAM BOX,monthly subscription,-10956,RUB,4408,card,posted,services.digital,RU,4899,AUTH-0000000718,TERM-1088,counterparty-14,1401500,household account; monthly subscription; statement export,PROVIDER-2026-00000718,2
TX-000719,2026-03-30 19:53:00,2026-03-31,GREEN MARKET,fresh food,-11093,RUB,4409,card,posted,food.groceries,RU,5411,AUTH-0000000719,TERM-1089,counterparty-15,1390407,household account; fresh food; statement export,PROVIDER-2026-00000719,3
TX-000720,2026-03-31 08:00:00,2026-04-01,BOOK HOUSE,books and stationery,-11230,RUB,4400,qr,posted,unknown,RU,5942,AUTH-0000000720,TERM-1000,counterparty-16,1379177,household account; books and stationery; statement export,PROVIDER-2026-00000720,0
TX-000721,2026-01-01 09:07:00,2026-01-02,NOVA MARKET,groceries,-11367,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000721,TERM-1001,counterparty-17,1367810,household account; groceries; statement export,PROVIDER-2026-00000721,1
TX-000722,2026-01-02 10:14:00,2026-01-03,CITY RIDE,completed ride,-11504,RUB,4402,card,posted,transport,RU,4121,AUTH-0000000722,TERM-1002,counterparty-18,1356306,household account; completed ride; statement export,PROVIDER-2026-00000722,2
TX-000723,2026-01-03 11:21:00,2026-01-04,RIVER PAY,online order,-11641,RUB,4403,qr,posted,services.digital,RU,5812,AUTH-0000000723,TERM-1003,counterparty-19,1344665,household account; online order; statement export,PROVIDER-2026-00000723,3
TX-000724,2026-01-04 12:28:00,2026-01-05,NORTH CAFE,coffee and lunch,-11778,RUB,4404,card,posted,food.cafe,RU,5814,AUTH-0000000724,TERM-1004,counterparty-20,1332887,household account; coffee and lunch; statement export,PROVIDER-2026-00000724,0
TX-000725,2026-01-05 13:35:00,2026-01-06,MEDI-CORNER,pharmacy goods,-11915,RUB,4405,card,posted,health.pharmacy,RU,5912,AUTH-0000000725,TERM-1005,counterparty-21,1320972,household account; pharmacy goods; statement export,PROVIDER-2026-00000725,1
TX-000726,2026-01-06 14:42:00,2026-01-07,STREAM BOX,monthly subscription,-12052,RUB,4406,qr,posted,services.digital,RU,4899,AUTH-0000000726,TERM-1006,counterparty-22,1308920,household account; monthly subscription; statement export,PROVIDER-2026-00000726,2
TX-000727,2026-01-07 15:49:00,2026-01-08,GREEN MARKET,fresh food,-12189,RUB,4407,card,posted,food.groceries,RU,5411,AUTH-0000000727,TERM-1007,counterparty-23,1296731,household account; fresh food; statement export,PROVIDER-2026-00000727,3
TX-000728,2026-01-08 16:56:00,2026-01-09,BOOK HOUSE,books and stationery,-12326,RUB,4408,card,posted,unknown,RU,5942,AUTH-0000000728,TERM-1008,counterparty-24,1284405,household account; books and stationery; statement export,PROVIDER-2026-00000728,0
TX-000729,2026-01-09 17:03:00,2026-01-10,NOVA MARKET,groceries,-12463,RUB,4409,qr,posted,food.groceries,RU,5311,AUTH-0000000729,TERM-1009,counterparty-25,1271942,household account; groceries; statement export,PROVIDER-2026-00000729,1
TX-000730,2026-01-10 18:10:00,2026-01-11,CITY RIDE,completed ride,-12600,RUB,4400,card,posted,transport,RU,4121,AUTH-0000000730,TERM-1010,counterparty-26,1259342,household account; completed ride; statement export,PROVIDER-2026-00000730,2
TX-000731,2026-01-11 19:17:00,2026-01-12,RIVER PAY,online order,-12737,RUB,4401,card,posted,services.digital,RU,5812,AUTH-0000000731,TERM-1011,counterparty-27,1246605,household account; online order; statement export,PROVIDER-2026-00000731,3
TX-000732,2026-01-12 08:24:00,2026-01-13,NORTH CAFE,coffee and lunch,-12874,RUB,4402,qr,posted,food.cafe,RU,5814,AUTH-0000000732,TERM-1012,counterparty-28,1233731,household account; coffee and lunch; statement export,PROVIDER-2026-00000732,0
